中文,日文,平假名讀音,難度
矮的,低い,ひくい,N5
好的,良い,いい,N5
壞的,悪い,わるい,N5
髒的,汚い,きたない,N5
新的,新しい,あたらしい,N5
舊的,古い,ふるい,N5
有趣的,面白い,おもしろい,N5
無聊的,つまらない,つまらない,N5
大的,大きい,おおきい,N5
小的,小さい,ちいさい,N5
甜的,甘い,あまい,N5
好吃、好喝,美味しい,おいしい,N5
難吃、難喝,まずい,x,N5
簡單,易しい,やさしい,N5
困難的,難しい,むずかしい,N5
溫柔,優しい,やさしい,N5
嚴格的,厳しい,きびしい,N5
暗暗的,暗い,くらい,N5
明亮的,明るい,あかるい,N5
忙碌,忙しい,いそがしい,N5
可愛,可愛い,かわいい,N5
快樂,楽しい,たのしい,N5
吵、囉嗦,うるさい,x,N5
漂亮、乾淨,綺麗,きれい,N5
方便,便利,べんり,N5
有名,有名,ゆうめい,N5
安靜,静か,しずか,N5
熱鬧、繁華,賑やか,にぎやか,N5
